Document_No,Judul,Published Date,Full Article,Likes,Comment,Total Shares,Sentiment,Dominant_Topic,Contribution,Keyword
29,Gunung Semeru kembali erupsi disertai awan panas guguran,2023-02-26,Baca juga Petugas kembali catat terjadi getaran banjir lahar dingin Semeru Lumajang Jawa Timur ANTARA Gunung Semeru yang memiliki ketinggian meter dari permukaan laut mdpl di Kabupaten Lumajang Jawa Timur kembali erupsi disertai awan panas guguran pada MingguPetugas Pos Pengamatan Gunung Api PPGA Semeru Ghufron Ali dalam keterangan tertulisnya menyampaikan bahwa terjadi erupsi pada Februari pukul WIBTinggi kolom erupsi tidak teramati Erupsi terekam di seismograf dengan amplitudo maksimum mm dan durasi detik katanya di PPGA Semeru di Gunung Sawur MingguSementara petugas PPGA Semeru Mukdas Sofian dalam laporan tertulisnya terkait pengamatan aktivitas gunung tertinggi di Pulau Jawa itu pada Minggu pukul WIB menyebutkan bahwa terjadi kali gempa erupsi dengan amplitudo mm dengan lama detikTerjadi satu kali kali awan panas guguran dengan amplitudo mm dan lama gempa detik dan dua kali getaran banjir dengan amplitudo mm dengan waktu detik tuturnyaUntuk pengamatan aktivitas Gunung Semeru pada pukul WIB terekam kali gempa letusan dengan amplitudo mm dan lama gempa detik kemudian satu kali gempa vulkanik dalam dengan amplitudo mm serta satu kali gempa vulkanik dalam dengan amplitudo mmGunung Semeru masih berstatus Siaga atau Level III sehingga masyarakat diimbau untuk mematuhi sejumlah rekomendasi yang telah disampaikan oleh Pusat Vulkanologi dan Mitigasi Bencana Geologi PVMBGMasyarakat dilarang melakukan aktivitas apapun di sektor tenggara di sepanjang Besuk Kobokan sejauh km dari puncak pusat erupsiDi luar jarak tersebut masyarakat juga tidak boleh melakukan aktivitas pada jarak meter dari tepi sungai sempadan sungai di sepanjang Besuk Kobokan karena berpotensi terlanda perluasan awan panas dan aliran lahar hingga jarak km dari puncakMasyarakat juga diimbau tidak beraktivitas dalam radius km dari kawahpuncak Gunung Semeru karena rawan terhadap bahaya lontaran batu pijar ujarnyaSelain itu lanjut dia masyarakat juga diimbau mewaspadai potensi awan panas guguran APG guguran lava dan lahar di sepanjang aliran sungailembah yang berhulu di puncak Gunung Api SemeruTerutama sepanjang Besuk Kobokan Besuk Bang Besuk Kembar dan Besuk Sat serta potensi lahar pada sungaisungai kecil yang merupakan anak sungai dari Besuk Kobokan katanya Pewarta Zumrotun Solichah Editor Bambang Sutopo Hadi COPYRIGHT © ANTARA,,,0,Neutral,9.0,0.996,"india, gempa, jakarta, baca, ali, asib, indonesia, tolak, kali, pemuda"
30,"Prakiraan Cuaca Jabodetabek Senin, 27 Februari 2023: Seluruh Wilayah Jakarta Hujan pada Pagi Hari - Tribunnews.com",2023-02-26,Ilustrasi cuaca hujan Simak prakiraan cuaca BMKG di wilayah Jabodetabek pada besok Senin Seluruh wilayah DKI Jakarta dan Bekasi hujan ringan pada pagi hari TRIBUNNEWSCOM Badan Meteorologi Klimatologi dan Geofisika BMKG telah merilis prakiraan cuaca untuk wilayah Jakarta Bogor Depok Tangerang dan Bekasi Jabodetabek untuk besok Senin Seluruh wilayah DKI Jakarta dan Bekasi diperkirakan hujan dengan intensitas ringan pada pagi hari Hujan di wilayah Jakarta Selatan dan Jakarta Timur berpotensi terjadi hingga siang hari Sementara wilayah Jakarta Utara dan Kepulauan Seribu diperkirakan kembali diguyur hujan ringan pada malam hari Selengkapnya berikut ini prakiraan cuaca wilayah Jabodetabek untuk Senin besok dikutip Tribunnewscom dari laman BMKG Baca juga Prakiraan Cuaca Kota di Indonesia Senin Februari Makassar Diguyur Hujan Seharian Jakarta Barat Pagi Hujan Ringan Siang Berawan Tebal Malam Berawan Tebal Dini Hari Hujan Ringan Suhu derajat celsius Kelembapan persen Jakarta Pusat Pagi Hujan Ringan,,,0,Neutral,9.0,0.992,"india, gempa, jakarta, baca, ali, asib, indonesia, tolak, kali, pemuda"
31,"Jokowi Temui Warga yang Demo saat Peresmian Tol Sayung, Perintahkan Kementerian Selesaikan Segera - Tribun Video",2023-02-26,TRIBUNVIDEOCOM DEMAK Dalam perjalanan menuju lokasi peresmian Jalan Tol SemarangDemak di Gerbang Tol Sayung Kabupaten Demak pada Sabtu Februari Presiden Joko Widodo melihat sejumlah kelompok masyarakat membentangkan spanduk yang bertuliskan aspirasi mereka Merespons aksi masyarakat tersebut Presiden meminta Asisten Ajudan Presiden Kompol Syarif Muhammad Fitriansyah untuk mengundang perwakilan dari kelompok masyarakat tersebut untuk berdialog “Nanti undang tiga orang perwakilan” ucap Presiden kepada Syarif saat itu Usai peresmian Presiden pun bertemu dengan perwakilan masyarakat yang menyampaikan aspirasi tersebut Saat pertemuan perwakilan masyarakat menyampaikan kepada Presiden Jokowi terkait permasalahan pencairan ganti rugi lahan mereka yang terdampak Dalam keterangan terpisah Menteri Agraria dan Tata RuangBadan Pertanahan Nasional ATRBPN Hadi Tjahjanto menjelaskan bahwa pemerintah akan segera menindaklanjuti permasalahan tersebut Presiden Jokowi juga telah memerintahkan kementerian terkait untuk segera menyelesaikan hal tersebut “Kalau bisa selesai dalam waktu dekat tidak berlarutlarut Presiden memerintahkan kepada saya dan Bapak Mensesneg untuk segera diselesaikan masalah ini Baca Presiden Jokowi Habiskan Waktu Malam Minggu Bareng Cucu di Mal Semarang Main Basket hingga Arcade Baca Pekerja Proyek IKN Menangis Terharu Diajak Makan Bersama Presiden Jokowi dan Para Menteri Jangan sampai masyarakat rugi menunggu” kata Hadi Lebih lanjut Hadi menjelaskan bahwa BPN setempat akan mengawal dan mendampingi masyarakat dalam proses pencairan tersebut Hadi juga menargetkan pada minggu ini permasalahan tersebut bisa selesai “Minggu ini saya kira sudah selesai Tadi Kepala BPN juga sudah saya panggil untuk menyupervisi mendampingi ke pengadilan kemudian uang segera diserahkan” lanjutnya Sementara itu perwakilan masyarakat yang bertemu dengan Presiden Fathoni mengaku bersyukur atas pertemuannya dengan Presiden Jokowi hari ini Menurutnya melalui pertemuan ini permasalahan yang selama ini dirasakan oleh masyarakat telah menemukan titik terang “Dengan rawuhnya kedatangan Bapak Presiden ini menjadi solusi buat kami Tadi Bapak Presiden sudah menjanjikan insyaallah selesai tidak ada masalah” ujar Fathoni Artikel ini telah tayang di TribunJatengcom dengan judul Presiden Jokowi Temui Perwakilan Warga yang Berdemo saat Peresmian Tol SemarangDemak Jokowi Tol Semarang mensesneg BPN,,,0,Neutral,0.0,0.9957,", tim, jakarta, khusus, semarang, main, presiden, psis, skema, dki"
32,"Polisi Sebut Ada Wanita Lain yang Buat Mario Tersulut Emosi, Bercerita AGH Dapat Perlakuan Tak Baik - Tribun Video",2023-02-26,TRIBUNVIDEOCOM Pihak kepolisian menyebutkan bahwa ada nama wanita lain yang menyampaikan cerita tentang AGH yang membuat Mario Dandy Satriyo anak pejabat pajak marah hingga menyiksa Cristalino David Ozora Hal tersebut di sampaikan oleh Kapolres Metro Jakarta Kombes Ade Ary Syam Indradi saat jumpa pers kedua pada Jumat lalu Dikutip dari Tribunjakartacom Sebelumnya Ade menyampaikan bahwa AGH yang menceritakan perlakuan tidak baik David tersebut kepada pacarnya Mario Sehingga membuat Mario marah dan menganiaya David anak dari salah satu pengurus Pimpinan Pusat PP GP Ansor yang disebut juga sebagai mantan AGH Kemudian wanita lain yang disebut menyampaikan cerita kepada Mario tersebut diketahui berinisial APA Kronologinya adalah di awal atau sekitar bulan Januari tersangka MDS Mario mendapatkan informasi dari temannya yaitu saudari APA yang menyatakan bahwa saksi AGH sekitar tanggal Januari itu mendapatkan perlakuan yang tidak baik dari korban David ungkap Ade Selanjutnya Mario mengonfirmasi ke AGH kemudian menghubungi temannya yakni Shane Lukas Setelah anak AGH dikonfirmasi oleh tersangka MDS Mario akhirnya di tanggal Februari tersangka MDS menghubungi tersangka  Shane kemudian tersangka  bertanya kamu kenapa ujar Ade Ary Akhirnya tersangka MDS emosi kemudian tersangka  menjawab gua kalau jadi lu pukulin saja Itu parah Den imbuhnya Baca Kader Ansor dan Banser DKI Jakarta Jenguk David Korban Penganiayaan Mario Anak Pejabat DJP Untuk diketahui Shane sudah ditetapkan sebagai tersangka oleh polisi pada Jumat lalu Shane disebut sebagai provokator sebenarnya karena pernyataannya yang menyulut kegeraman Mario Memberikan pendapat kepada tersangka MDS wah parah itu ya sudah hajar saja kata Ade Ary Saat penganiayaan terjadi Shane pada saat itu juga berada di lokasi kejadian Selain itu Shane juga disebut sebagai perekam video saat Mario menganiaya David Kronologi Sebelumnya Pada jumpa pers pertama Rabu Ade mengatakan kejadian penganiayaan yang terjadi di Komplek Grand Permata Ulujami Pesanggrahan Jakarta Selatan pada Senin malam tersebut bermula saat AGH mengadu kepada Mario bahwa David melakukan perbuatan tidak menyenangkan Beberapa hari sebelum kejadian tersangka mencoba mengonfirmasi hal tersebut kepada korban Kemudian korban tidak menjawab dan tidak bisa bertemu kata Ade saat merilis kasus ini Rabu Setelah itu Mario kemudian datang ke rumah teman korban Tersangka Mario datang bersama AGH dan Shane menggunakan mobil Jeep Rubicon berwarna hitam Setibanya di depan rumah  AGH menghubungi David dan memintanya untuk keluar Tak lama setelah itu korban pun keluar menemui Mario dan AGH Pada momen tersebut tersangka mencoba mengonfirmasi soal perbuatan tidak menyenangkan yang diadukan AGH Sebelumnya sempat terjadi perdebatan antara Mario dan David kemudian akhirnya terjadilah penganiayaan terhadap David secara brutal di belakang mobil Mario Pelaku menendang kaki korban sehingga korban terjatuh kemudian pelaku memukul korban berkalikali menggunakan tangan kanan pelaku Kemudian saat korban sudah terjatuh pelaku menendang kepala korban Kemudian menendang perut korban ungkap Ade Ary Tak lama kemudian orang tua  mendekat ke tempat kejadian perkara TKP dan berupaya menolong David Orang tua  juga memanggil sekuriti komplek yang selanjutnya menghubungi Polsek Pesanggrahan Baca Gestur Ayah David saat Sri Mulyani Jenguk Anak yang Dianiaya Mario Berulang Kali Bungkukkan Badan Kemudian setelah mendapat laporan dari petugas sekuriti di Grand Permata Cluster Boulevard ini petugas kepolisian dari Polsek Pesanggrahan datang dan langsung mengamankan orangorang yang ada di TKP yaitu AGH Mario dan Shane Sementara itu David langsung ditolong dan dibawa ke Rumah Sakit RS Medika Permata Hijau Atas kasus tersebut Mario dijerat Pasal  juncto Pasal undangundang Nomor Tahun tentang perubahan atas UndangUndang RI Nomor tahun tentang perlindungan anak dengan ancaman pidana maksimal tahun penjara Selain itu Mario juga disangkakan Pasal ayat tentang penganiayaan berat dengan ancaman pidana maksimal lima tahun Artikel ini telah tayang di Tribunnewscom dengan judul Polisi Sebut Ada Wanita Lain yang Sulut Amarah Mario hingga Tega Aniaya David Ini Kronologinya penganiayaan David Mario Dandy Satriyo Shane Lukas GP Ansor Baca berita terkait di sini,,,0,Negatif,4.0,0.9977,"mario, david, sangka, aniaya, dandy, shane, anak, korban, jakarta, ade"
33,"Gestur Ayah David saat Sri Mulyani Jenguk Anak yang Dianiaya Mario, Berulang Kali Bungkukkan Badan - Tribun Video",2023-02-26,TRIBUNVIDEOCOM Kemarin Sabtu Menteri Keuangan Sri Mulyani menjenguk korban penganiayaan anak pejabat bernama Mario Dandy David Jonathan Latumahina Sri Mulyani menjenguk David di Rumah sakit Mayapada Kuningan bersama Menteri Agama Yaqut Cholil Qoumas Dalam momen tersebut Sri Mulyani menyampaikan permintaan maafnya secara langsung kepada orangtua David Baca Dianaya Anak Pejabat Ditjen Pajak Sri Mulyani Langsung Turun Tangan Kunjungi David di ICU Selain itu Sri Mulyani juga menyampaikan mendukung agar proses hukum terus berjalan Dalam momen tersebut ayah David Jonathan Latumahina yang juga merupakan pengurus GP Ansor menunjukkan ekspresi yang berbeda Ia tampak beberapa kali membungkukkan badan ke Sri Mulyani Sementara itu ayah pelaku Mario Dandy Rafael Alun Trisambodo telah menulis surat pengunduran diri sebagai ASN akibat ulang sang anak Surat pengunduran diri tersebut ditulis pada Jumat Diketahui kasus penganiayaan ini dilakukan oleh Mario pada Senin Baca Sri Mulyani Jenguk David Korban Penganiayaan Anak Pejabat Pajak Sungguh Pedih dan Remuk Hati Ini Kini polisi telah menetapkan dua tersangka yakni Mario Dandy dan Shane Lukas TribunVideocomTribunnewscom Baca juga berita terkait di sini Artikel ini telah tayang di Tribunnewscom dengan judul Sri Mulyani Jenguk David Korban Penganiayaan Anak Pejabat Pajak Begini Reaksinya TRIBUNNEWS UPDATE Sri Mulyani David penganiayaan GP Ansor,,,0,Neutral,4.0,0.6023,"mario, david, sangka, aniaya, dandy, shane, anak, korban, jakarta, ade"
34,Sri Mulyani Bantah Berita 13 Ribu Pegawai Kemenkeu Belum Lapor Harta hingga Bikin Netizen Marah - Tribun Video,2023-02-26,TRIBUNVIDEOCOM Beberapa hari ini perhatian warganet tertuju terhadap viral kasus penganiayaan yang dilakukan oleh seorang anak pejabat Direktorat Jenderal Pajak DJP bernama Mario Dandy Satriyo Kasus ini diperparah oleh sikap Dandy yang ternyata kerap memamerkan harta di media sosial medsos yang berujung pada meningkatnya rasa kesal netizen terhadap instansi DJP tempat di mana ayah pelaku bekerja Dikutip TribunWow dari Instagram smindrawati Sabtu kini Menteri Keuangan Sri Mulyani buka suara terkait heboh pemberitaan ribu pegawainya belum melaporkan harta kekayaan Sri Mulyani menyampaikan pemberitaan tersebut memiliki judul yang provokatif sehingga mengundang amarah warganet Pada kolom captionnya Sri Mulyani menyampaikan bahwa tingkat kepatuhan pegawainya dalam mengisi LHKPN mencapai persen Sri Mulyani menyatakan akan memastikan bahwa pada LHKPN tahun nanti tingkat kepatuhan bawahannya juga akan mencapai persen Dalam kolom captionnya itu Sri Mulyani juga mengajak masyarakat agar ikut mengawasi jika ada pelanggaran yang dilakukan oleh pegawai dari instansi Kemenkeu Namun Sri Mulyani juga meminta agar para pegawai yang bekerja secara jujur dan baik agar didukung Berikut caption lengkap yang ditulis oleh Sri Mulyani ribu Pegawai Kemenkeu Belum Lapor Harta KPK tunggu hingga akhir Maret Baca Menkeu Sri Mulyani Jenguk David Korban Penganiayaan Anak Pejabat Pajak Sungguh Remuk Hati Baca Sri Mulyani Jenguk David Korban Penganiayaan Mario Dandy Sang Ayah Berkalikali Bungkukkan Badan Itu judul berita di Detik dan juga CNN Provokatif dan Reaksi netizen riuh rendah penuh marah memberikan kesan pegawai Kemenkeu tidak patuh lapor harta ITU TIDAK BENAR Lihat Slide Kewajiban LHKPN diatur dalam UU sttd UU bagi Pejabat Negara yang menjalankan fungsi eksekutif legislatif atau yudikatif dan pejabat lain yang fungsi dan tugas pokoknya berkaitan dengan penyelenggaraan negara sesuai dengan ketentuan peraturan perundangundangan yang berlaku Di lingkungan Kemenkeu tidak semua pegawai diwajibkan lapor LHKPN namun hanya pegawai dan pejabat yang sudah ditetapkan dalam KMK mengenai Daftar Wajib Lapor WL di Lingkungan Kemenkeu adalah dan Wajib Lapor meliputi JPT Madya Eselon dan Pratama Eselon dan Stafsus Para pejabat pengadaan dan bendahara Pemeriksa Bea Cukai AR Penilai pajak Pemeriksa pajak Pelelang Widyaiswara Hakim pengadilan pajak dan Pejabat esleon III dan IV serta pelaksana di unit tertentu PEGAWAI YANG TIDAK WAJIB LAPOR LHKPN TETAP MELAPOR HARTA DAN SPT melalui Aplikasi Laporan Pajak dan Harta Kekayaan Alpha yaitu aplikasi pelaporan di internal Kemenkeu Tahun pelaporan LHKPN melalui elhkpn diintegrasi dengan Alpha sehingga para wajib lapor LHKPN cukup melaporkan kali Tingkat kepatuhan wajib lapor LHKPN di Kemenkeu mencapai persen Tahun HANYA ORANG TIDAK MELENGKAPI DOKUMEN Untuk Pelaporan proses masih berjalan sampai Maret Status hingga Februari pegawai persen sudah lapor dan belum lapor Kemenkeu mewajibkan pegawai melapor LHKPN Alpha dan SPT lebih awal yaitu sebelum tanggal Februari Sama seperti tahuntahun sebelumnya KEPATUHAN PELAPORAN PEGAWAI KEMENKEU HARUS MENCAPAI Ayooo Awasi laporkan dan proses hukum mereka yang korupsi dan nyeleweng Kita bersihkan yang kotor Dukung dan hargai mereka yang kerja baik benar dan bersih Jaga dan awasi bersama Kemenkeu Jangan lelah dan kalah mencintai Indonesia Jakarta Februari Selain menulis caption panjang Sri Mulyani juga menyertakan statistik kepatuhan LHKPN para pegawai Kemenkeu Terlihat dari tahun seluruh wajib pajak persen taat melaporkan LHKPN Hanya pada tahun terdapat seorang pegawai DJP yang sebenarnya sudah melaporkan LHKPN namun tidak melengkapi dokumen surat kuasa TribunWowcom Artikel ini telah tayang di TribunWowcom dengan judul Sri Mulyani Bantah Berita Ribu Pegawai Kemenkeu Belum Lapor Harta hingga Bikin Netizen Marah Sri Mulyani penganiayaan Direktorat Jenderal Pajak Mario Dandy Satriyo,,,0,Negatif,5.0,0.9977,"lapor, sri, mulyani, jabat, kemenkeu, pegawai, lhkpn, raisa, anak, pajak"
35,"Sosok Gus Afan, Ulama NU yang Wafat akibat Kecelakaan di Tol Solo-Ngawi, Dikenal Sederhana dan Ramah - Tribun Video",2023-02-26,TRIBUNVIDEOCOM Keluarga besar Nadhatul Ulama NU kembali kehilangan salah satu tokoh terbaiknya Afan Mufti Hartoni atau biasa dikenal Gus Afan meninggal dunia akibat kecelakaan di Karanganyar Jawa Tengah Sabtu Gus Afan sendiri merupakan ulama yang menjabat sebagai Ketua Tanfidziah MWC NU Tegalrejo Magelang Duka yang mendalam terutama dirasakan keluarga besar Ponpes Nurul Hasan Geger Tegalrejo Baca Orang Meninggal Seketika akibat Kecelakaan Maut Xenia Vs Kereta Api di Semarang Jawa Tengah Sebab almarhum merupakan putra dari ulama sekaligus pengasuh pesantren tersebut Ribuan pelayat mengantarkan jenazah Gus Afan ke pemakaman keluarga yang tidak jauh dari kompleks pesantren Selama ini Gus Afan dikenal sebagai sosok yang sederhana dan rendah hati meski terlahir dari ulama besar NU Seorang pelayat bernama Abbet mengaku memiliki kenangan tersendiri dengan Gus Afan Ia bercerita pernah sowan berkunjung ke rumah Gus Afan Baca Kisah Pilu Siswi Madrasah Meninggal seusai Dirudapaksa Teman Polisi Sempat Tak Proses Laporan Meski belum kenal lama Gus Afan disebut sudah sangat hafal dengan dirinya Beliau sederhana ramah meski putra kiai tetapi beliau tetap rendah hati kata Abbet dikutip dari Kompascom Sabtu Adapun kecelakaan yang dialami Gus Afan terjadi saat mobil Innova yang ditumpanginya melintas di Tol SoloNgawi Kala itu rombongan Gus Afan yang terdiri dari empat orang baru pulang dari pengajian di Tulungagung Jawa Timur Baca Operator Ekskavator Asal Gorut Ditemukan Meninggal di Gudang Besi Tua Penyebab Masih Diselidiki Tibatiba mobil menabrak bagian belakang truk tronton hingga ringsek Akibat kecelakaan ini tiga orang meninggal di tempat dan satu lainnya di rumah sakit Polisi menduga sopir dalam kondisi mengantuk dan kelelahan saat mengemudi TribunVideocom Artikel ini telah tayang di Kompascom dengan judul Wafat Usai Kecelakaan di Tol SoloKertosono Gus Afan Dikenal Sosok Rendah Hati meski Putra Kyai Host Agung Laksono VP Nur Rohman Urip sosok Gus Afan Ulama NU Wafat kecelakaan Karanganyar,,,0,Positif,8.0,0.9959,"rini, orang, sus, trisha, mobil, afan, gus, celaka, baca, polisi"
36,Jung So Min Batal Tampil di Drama Teater Shakespeare in Love di Shownote Theatre - Tribunnews.com,2023-02-26,Kolase foto Jung So Min kiri dan Chae Soo Bin kanan saat berperan sebagai Viola di drama Shakespeare in Love TRIBUNNEWSCOM Aktris Korea Selatan Jung So Min batal membintangi drama teater Shakespeare in Love di Shownote Theatre pada pada – Februari pukul KST Chae Soo Bin harus menggantikan Jung So Min dalam perannya di drama Shakespeare in Love Sehari sebelumnya pada Jumat Shownote Theatre mengumumkan perubahan casting untuk drama Shakespeare in Love Shownote Theatre menjelaskan Jung So Min seharusnya tampil sebagai Viola dalam drama Shakespeare in Love Jung So Min untuk sementara tidak dapat tampil karena masalah kesehatan Itulah mengapa aktris Chae Soo Bin berperan sebagai Viola untuk menggantikan perannya dikutip dari Kpop Post Baca juga Profil Jung So Min Pemeran Mu Deok di Drama Korea Alchemy of Souls Awali Karier di Tahun Shownote Theatre meminta maaf karena perubahan casting terjadi secara tibatiba Mereka berjanji pembatalan dan pengembalian uang akan tersedia tanpa biaya tambahan Pada saat yang sama sebagian besar penggemar berharap Jung So Min akan segera pulih meski ada yang sedih karena perbuahan jadwal itu Penampilan Chae Soo Bin yang menggantikan Jung So Min dalam perannya di drama Shakespeare in Love di Shownote Theatre pada tanggal Februari Shownote Theatre Baca juga Drama Korea Taxi Driver Episode Capai Rating Tertinggi Peroleh persen Menanggapi hal ini Shownote Theatre merilis pernyataan maaf pada penonton yang telah membeli tiket “Pemilihan pemain telah diubah sebagai berikut karena alasan kesehatan aktris Jung So Min yang berperan sebagai Viola de Lesseps Kami mohon maaf atas ketidaknyamanan yang terjadi karena perubahan mendadak dalam susunan pemain tulis Shownote Theatre di Instagram Pembatalan dan pengembalian dana karena perubahan ini dapat dilakukan tanpa biaya Silakan hubungi pusat pelanggan kami untuk informasi lebih rinci” lanjutnya Penampilan Chae Soo Bin yang menggantikan Jung So Min dalam perannya di drama Shakespeare in Love di Shownote Theatre pada tanggal Februari pukul KST Shownote Theatre Baca juga Spoiler Drama Korea Crash Course in Romance Episode Jung Kyung Ho Buat Jeon Do Yeon Terkejut Shakespeare in Love Shakespeare in Love adalah drama panggung besar berdasarkan film tahun dengan judul yang sama,,,0,Neutral,8.0,0.9964,"rini, orang, sus, trisha, mobil, afan, gus, celaka, baca, polisi"
37,Ponsel murah moncer di Asia Tenggara,2023-02-26,Baca juga Galaxy  ramaikan segmen ponsel murah Samsung Jakarta ANTARA Segmen ponsel murah di Asia Tenggara menunjukkan angka yang moncer di tengah kondisi pasar ponsel secara keseluruhan di wilayah tersebut yang sedang menurunLaporan pasar ponsel kuartal keempat dari Counterpoint dalam siaran pers yang diterima di Jakarta Minggu menunjukkan pengiriman ponsel kelas entrylevel di Asia Tenggara naik persen dibandingkan kuartal yang sama Kenaikan itu dipicu peluncuran berbagai produk ponsel murah dan permintaan yang sempat tertundaPonsel murah versi Counterpoint berharga di bawah dolar Amerika Serikat atau sekitar Rp jutaanPengiriman ponsel secara umum di Asia Tenggara untuk kuartal empat berdasarkan riset Counterpoint turun persen secara yearonyearAsia Tenggara mengalami berbagai tantangan pada Negaranegara di sana terus menaikkan suku bunga inflasi masih menjadi faktor dan volume perdagangan bergantung pada permintaan di negara mitra kata analis senior di Counterpoint Glen CardozaSelain ponsel murah ponsel segmen premium rentang harga di atas dolar AS atau sekitar Rp juta juga naik yaitu sebesar persen secara quarteronquarter Merek yang merajai segmen premium di Asia Tenggara adalah Samsung seri  dan iPhone serta iPhone Counterpoint melihat pada semester pertama Asia Tenggara diperkirakan masih merasakan efek dari pengiriman ponsel rendah Peningkatan pengiriman ponsel diperkirakan baru terjadi pada  Berkaitan dengan  firma riset itu melihat Singapura da Thailand akan menggunakan jaringan itu untuk sektor industri dan konsumen Sementara Indonesia dan Filipina menurut Counterpoint berfokus pada penetrasi  Pewarta Natisha Andarningtyas Editor Maria Rosari Dwi Putri COPYRIGHT © ANTARA,15.0,0.0,19,Neutral,9.0,0.994,"india, gempa, jakarta, baca, ali, asib, indonesia, tolak, kali, pemuda"
38,Polres Situbondo razia minuman keras jelang Ramadhan,2023-02-26,Baca juga Polresta Kendari sita liter minuman keras tradisional saat patroli Baca juga Polres Lombok Tengah gelar razia jelang kejuaraan WSBK Situbondo ANTARA Satuan Samapta Kepolisian Resor Situbondo Jawa Timur akan terus menggencarkan razia minuman keras dalam operasi penyakit masyarakat menjelang bulan puasa Ramadhan HijriahPada Sabtu malam petugas merazia warungwarung di Desa Kilensari Kecamatan Panarukan yang ditengarai menjual bebas berbagai jenis minuman kerasKami melaksanakan razia minuman keras di warungwarung setelah mendapatkan laporan dari masyarakat yang merasa resah Artinya kami bergerak merespons laporan masyarakat ujar Kasat Samapta Polres Situbondo AKP Sudpendi di Situbondo MingguTak hanya warungwarung yang menjadi sasaran razia minuman keras katanya rumah warga yang ditengarai menjual minuman keras sesuai laporan dari masyarakat juga dirazia dan digeledah oleh petugasHasilnya menurut AKP Sudpendi polisi berhasil mengamankan puluhan botol minuman keras berbagai jenis baik di warungwarung dan rumah warga di Kecamatan PanarukanHasil razia kami mengamankan botol minuman keras berbagai merek di antaranya anggur merah bir singaraja dan minuman keras jenis arak yang dikemas botol kecil dan besar dan siap dijual ujarnyaPolisi tidak hanya mengamankan barang bukti minuman keras dari warung dan rumah tapi juga menindak tegas pemilik atau penjual dengan tindak pidana ringanBagi pemilik atau penjual minuman keras dikenakan sanksi berupa tindak pidana ringan dan barang bukti kami amankan ke Polres Situbondo ucap AKP SudpendiDia juga mengimbau kepada masyarakat agar tidak memperjualbelikan ataupun mengonsumsi minuman keras karena membahayakan kesehatan juga mengganggu keamanan dan ketertiban di masyarakatOrang yang sedang dalam pengaruh alkohol cenderung melakukan tindakan yang mengganggu ketertiban di tengah masyarakat dan bahkan tindakan kriminal Oleh karena itu kami akan terus razia miras maupun operasi pekat lainnya kata Sudpendi Pewarta Novi Husdinariyanto Editor Tasrief Tarmizi COPYRIGHT © ANTARA,,,0,Neutral,6.0,0.9953,"pks, anies, baswedan, jakarta, presiden, partai, calon, menang, adil, milu"
